oid,name,name_en,type,address_manual,phone,www,email,for_disabled,ogrn,inn,coord
4312,Академический драматический театр имени В.Ф. Комиссаржевской,Komissarzhevskaya Academic Drama Theatre,гос. городское учреждение,"191186, Санкт-Петербург, Итальянская ул., д.19",+7(812)3155355; +7(812)5713102;,www.teatrvfk.ru,teatr@teatrvfk.ru,0,1027809234090,7808038086,"59.935978,30.334948"
4313,Академический малый драматический театр – Театр Европы,Maly Drama Theatre - Europe's Theatre,гос. федеральное учреждение,"191002, Санкт-Петербург, ул. Рубинштейна, д.18",+7 (812) 713-20-78; 575‑73-54,www.mdt-dodin.ru,mdt.sp.ru@mail.ru,0,1027809232406,7808037195,"59.930124,30.345360"
4314,Академический театр балета под руководством Бориса Эйфмана,Ballet Theatre of Boris Eifman,гос. городское учреждение,"191028, Санкт-Петербург, Гагаринская ул., д.32, лит. В",+7 (812) 578 50 39; +7 (812) 579 11 20,www.eifmanballet.ru,pr@eifmanballet.com,0,1027806889978,7813045201,"59.943350,30.343437"
4315,Академический театр комедии имени Н.П. Акимова,Akimov State Academic Comedy Theatre,гос. городское учреждение,"191023, Санкт-Петербург, Невский пр., д.56",+7(812) 312 45 55; +7(812) 314 25 01,http://akimovkomedia.ru/,teatr@akimovkomedia.ru,0,1027809181542,7808030376,"59.934060,30.338200"
4316,Александринский театр (Российский государственный академический театр драмы им. А.С. Пушкина),Alexandrinsky Theatre,гос. федеральное учреждение,"191023, Санкт-Петербург, Островского пл., д.6",+7(812) 312 15 45,www.alexandrinsky.ru,theatre@alexandrinsky.ru,1,1037843017761,7808006670,"59.9316667,30.3363889"
4317,"АНО ""Театр равных им. Екатерины Орловой""",Сatherine Orlova Theatrical Enterprise,автономная некоммерческая организация,"191002, Санкт-Петербург, улица Ломоносова, д.24, кв.30",+7 (961) 609-72-76,https://vk.com/club528569,volnohodec@mail.ru,1,1057811065883,7840319500,"59.919635,30.352960"
4318,Большой драматический театр им. Г.А. Товстоногова,Tovstonogov Bolshoy Drama Theatre,гос. федеральное учреждение,"191023, Санкт-Петербург, набережная реки Фонтанки, д.65",+7 812 244-10-71; 244-10-75,www.bdt.spb.ru,bdt@bdt.spb.ru,0,1037843003747,7808004288,"59.927351,30.330924"
4319,Государственный академический Мариинский театр,Mariinsky Theatre,федеральное государственное бюджетное учреждение культуры,"190000, Санкт-Петербург, Театральная пл., 1",+7(812)7145924; +7(812)3264141; +7(812)3264196,www.mariinsky.ru,post@mariinsky.ru,0,1027810251006,7812024600,"59.925389,30.296024"
4320,Государственный балет на льду Санкт-Петербурга,St. Petersburg State Ballet on Ice,гос. городское учреждение,"191144, Санкт-Петербург, 8-я советская ул., 56, лит. A","(812) 577-47-00, (812) 577-47-04",www.balletonice.spb.ru,iceballet@yandex.ru,0,1027809246024,7803019724,"59.933848,30.381661"
4321,"Государственный драматический театр ""Приют комедианта""","""Comedian's Refuge"" Drama Theatre",гос. городское учреждение,"191023, Санкт-Петербург, Cадовая ул., 27/9","+7 (812) 310-10-74, +7 (812) 310-32-77, +7 (812) 310-33-09",www.pkteatr.ru,admin@pkteatr.ru,0,1027810260653,7812044660,"59.929164,30.323162"
4322,"Государственный Пушкинский театральный центр в Санкт-Петербурге ""Пушкинская Школа""","Studio Theatre ""Pushkin School""",гос. федеральное учреждение,"191023, Санкт-Петербург, наб. р. Фонтанки, 41","710-48-48, 710-44-07, 710-47-25",www.pushkincenter.ru,"gptcspb@bk.ru, pushkin_centre@mail.ru",0,1037843012756,7825337223,"59.930570,30.339332"
4323,"Детский драматический театр ""У Нарвских ворот""","Children's Drama Theatre ""At Narva Gates""",гос. городское учреждение,"198095, Санкт-Петербург, ул. Зои Космодемьянской, д. 3",+7 (812) 786-51-48,"www.teatrlutz.ru, https://vk.com/public61223761",teatr_lutz@mail.ru,0,1037811007827,7805026935,"59.893177,30.272021"
4325,"Детский Музыкальный Театр ""Время"" имени Виктора Резникова","Viktor Reznikov Children's Theatre ""Vremia""",некоммерческая организация,"198303, Санкт-Петербург, пр. Стачек, 105, корп. 1",+7 (812) 758-36-01,https://vk.com/reznikov_dmt,theatre@radiorecord.ru,0,1037811021830,7805033690,"59.855109,30.240571"
4326,"Детский музыкальный театр ""Зазеркалье""","""Zazerkalye"" State Musical Theatre for Children",гос. городское учреждение,"191002, Санкт-Петербург, ул. Рубинштейна, 13",+7(812)7124393; +7 (812) 712-50-00,www.zazerkal.spb.ru,"zazerkalbilet@mail.ru, zazerkal-spb@mail.ru",0,1037843024603,7813046484,"59.929335,30.343940"
4327,"Драматический театр ""Комедианты""",Comedians Theatre,Государственное областное учреждение,"191040, Санкт-Петербург, Лиговский пр., д.44","+7(812)7648114, +7(812)5724790",www.komedianty.com,komedianty.spb@gmail.com,0,1037843001536,7815000301,"59.925881,30.359859"
4328,"Драматический театр ""На Васильевском""",Satire Theatre on Vasilievsky Island,Государственное областное учреждение,"199178, Санкт-Петербург, Средний пр., В.О., д.48","+7(812)323-02-84, +7 (812) 321-59-96",www.teatrvo.ru,teatr_satiry@mail.ru,0,1037800044490,7801032078,"59.942200,30.243877"
